id,node_id,timestamp,pm2_5,pm10,NO,NO2,NOX,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,added_at
16,16,2025-04-30T13:26:08.254970Z,76.157369,149.755031,38.23685,96.680169,45.481831,21.147591,5.150669,17.147423,16.632072,2.006899,3.99655,5.546206,355.331629,2025-04-30T13:26:08.258003Z
17,17,2025-04-30T13:26:08.254986Z,123.363063,198.70596,27.853935,61.560714,52.97759,30.949277,6.921349,15.567767,10.378214,1.952952,3.285674,5.660423,153.32824,2025-04-30T13:26:08.258012Z
18,18,2025-04-30T13:26:08.255001Z,109.92553,152.34759,32.897797,25.838459,48.109097,24.654388,4.611992,7.256265,18.898182,1.189678,2.919858,1.575066,71.702071,2025-04-30T13:26:08.258022Z
19,19,2025-04-30T13:26:08.255015Z,67.242952,72.046241,26.66908,45.245955,48.870708,38.161371,3.436613,16.536567,8.620608,0.381427,3.859281,4.084313,332.788185,2025-04-30T13:26:08.258032Z
20,20,2025-04-30T13:26:08.255030Z,109.478592,118.778546,40.258156,60.904497,64.568331,34.48574,2.880268,19.637617,8.806581,2.573838,4.059868,4.595044,181.48761,2025-04-30T13:26:08.258042Z
21,21,2025-04-30T13:26:08.255045Z,68.573193,82.636119,49.460415,46.773115,37.51948,19.692826,3.289126,15.199446,5.073751,1.463527,3.03659,5.772152,81.445936,2025-04-30T13:26:08.258052Z
22,22,2025-04-30T13:26:08.255060Z,55.766721,37.048471,33.652724,49.824224,52.453213,11.905306,3.60414,7.966397,4.016264,0.413626,2.311501,3.990854,181.355673,2025-04-30T13:26:08.258061Z
23,23,2025-04-30T13:26:08.255074Z,79.486444,104.748656,51.443045,71.501443,89.958558,17.690291,3.276033,15.538516,13.493744,0.348758,2.523198,5.283675,92.90402,2025-04-30T13:26:08.258071Z
24,24,2025-04-30T13:26:08.255089Z,68.331041,139.484794,61.460715,79.672031,57.508573,6.829873,6.992673,19.078151,4.785904,1.905848,3.55512,4.4987,71.878076,2025-04-30T13:26:08.258082Z
25,25,2025-04-30T13:26:08.255104Z,77.935009,98.946907,66.222817,79.850338,55.676568,14.48155,5.16257,20.345322,7.420795,1.130945,1.870526,4.360909,371.107897,2025-04-30T13:26:08.258092Z
26,26,2025-04-30T13:26:08.255119Z,88.361909,93.942924,29.354259,42.812646,76.516198,6.127317,6.938561,15.989776,14.837945,1.948777,3.719674,3.029357,225.954264,2025-04-30T13:26:08.258102Z
27,27,2025-04-30T13:26:08.255133Z,31.954191,128.641715,37.715908,49.867287,36.589993,17.335586,6.999259,19.775701,22.534754,1.137214,2.685641,4.040704,205.865009,2025-04-30T13:26:08.258112Z
28,28,2025-04-30T13:26:08.255148Z,68.611526,190.198917,32.706874,73.036234,38.313113,24.290194,8.318876,14.495353,20.458115,2.212727,3.489226,5.5737,145.919567,2025-04-30T13:26:08.258122Z
29,29,2025-04-30T13:26:08.255162Z,32.445597,121.350891,41.947232,43.095157,78.775526,0.0,1.35464,26.760478,10.861075,0.731255,3.422784,4.131167,102.642372,2025-04-30T13:26:08.258132Z
30,30,2025-04-30T13:26:08.255177Z,48.077285,149.716088,30.615318,47.87945,37.25198,19.848815,2.908728,17.04328,14.091958,0.625174,3.043415,3.434748,198.838168,2025-04-30T13:26:08.258143Z
31,31,2025-04-30T13:26:08.255192Z,101.781776,128.020928,30.009461,45.361109,59.81658,23.299733,3.872575,20.9771,4.894498,1.810061,2.895016,3.631938,84.22632,2025-04-30T13:26:08.258153Z
32,32,2025-04-30T13:26:08.255207Z,27.724022,220.280696,43.576347,18.223607,40.562534,31.520448,3.594293,14.906584,19.320173,2.188847,2.177991,4.280099,184.077391,2025-04-30T13:26:08.258163Z
33,33,2025-04-30T13:26:08.255222Z,99.595702,31.234164,51.142918,75.727277,47.044883,13.456689,8.430742,15.56178,12.283947,2.2906,1.212544,6.340788,104.926934,2025-04-30T13:26:08.258173Z
34,34,2025-04-30T13:26:08.255236Z,59.763461,252.760237,21.74249,43.935726,56.048238,24.729049,2.842511,29.568145,8.663647,1.368496,2.201857,3.667159,243.988804,2025-04-30T13:26:08.258184Z
35,35,2025-04-30T13:26:08.255251Z,75.113515,232.008016,56.728836,73.105637,60.999,17.046282,8.097168,18.379527,16.47623,1.435974,2.242897,2.890786,54.20221,2025-04-30T13:26:08.258194Z
36,36,2025-04-30T13:26:08.255266Z,108.62437,164.661991,47.81792,87.772495,37.918424,18.786792,4.911737,20.35751,10.772476,1.299634,2.799426,4.348013,367.763155,2025-04-30T13:26:08.258204Z
37,37,2025-04-30T13:26:08.255280Z,107.549571,108.774092,18.397475,30.860048,74.280954,30.492837,5.170354,10.950258,7.319706,1.249306,4.270671,0.409209,313.852343,2025-04-30T13:26:08.258215Z
38,38,2025-04-30T13:26:08.255295Z,7.361103,133.103961,12.772783,58.586132,38.408486,27.896079,2.718668,15.418914,14.044493,1.502566,3.118108,3.656274,157.786038,2025-04-30T13:26:08.258225Z
39,39,2025-04-30T13:26:08.255310Z,41.192679,135.918372,46.555001,69.4987,50.382621,22.518941,6.241078,15.685844,6.237757,2.56723,4.194228,3.723189,449.373353,2025-04-30T13:26:08.258236Z
40,40,2025-04-30T13:26:08.255325Z,56.20038,79.52595,68.665451,41.370985,79.028545,15.7911,6.943543,11.938623,11.456487,2.093876,2.520584,5.542332,148.990252,2025-04-30T13:26:08.258246Z
41,41,2025-04-30T13:26:08.255339Z,110.049401,97.727259,21.53523,67.686133,54.996379,37.605446,0.988164,19.331842,22.070316,1.924137,4.586375,6.640976,107.398863,2025-04-30T13:26:08.258257Z
42,42,2025-04-30T13:26:08.255354Z,76.883916,216.219195,53.286078,56.230747,57.813519,0.0,4.289695,17.557879,7.411399,1.458807,0.766181,3.667468,131.283582,2025-04-30T13:26:08.258267Z
43,43,2025-04-30T13:26:08.255369Z,118.816947,165.588427,51.265178,48.170441,55.400137,23.281763,4.614932,24.078834,11.458878,1.948375,3.004271,5.395373,160.996534,2025-04-30T13:26:08.258274Z
44,44,2025-04-30T13:26:08.255384Z,119.152408,140.795878,71.484875,45.501129,58.237261,11.554433,4.871455,20.501985,16.432855,1.385429,4.54151,1.56937,89.228491,2025-04-30T13:26:08.258281Z
45,45,2025-04-30T13:26:08.255402Z,93.024888,107.473481,54.047465,42.327397,48.489686,17.121858,8.478145,19.038955,13.220332,1.460295,2.86369,3.86069,71.598338,2025-04-30T13:26:08.258287Z
46,46,2025-04-30T13:26:08.255425Z,88.555854,168.32354,57.604621,44.905515,40.130204,10.539525,7.739101,18.321354,18.424597,2.476803,2.723971,2.131951,407.718515,2025-04-30T13:26:08.258294Z
47,47,2025-04-30T13:26:08.255448Z,73.360783,62.785255,31.184477,99.504191,52.933642,35.700664,5.701639,18.483709,11.496909,1.685446,3.838304,3.872168,265.123768,2025-04-30T13:26:08.258301Z
48,48,2025-04-30T13:26:08.255474Z,20.566253,110.978813,29.057945,62.871482,55.763355,13.274382,6.355327,25.737956,12.248352,1.424672,3.582588,6.998294,279.590902,2025-04-30T13:26:08.258308Z
49,49,2025-04-30T13:26:08.255496Z,70.755329,148.983264,30.898246,62.478143,65.492675,19.455121,6.407975,12.962583,8.531164,1.614198,3.72679,7.105311,375.937098,2025-04-30T13:26:08.258315Z
50,50,2025-04-30T13:26:08.255521Z,122.478817,116.23742,38.564521,36.718302,51.774746,27.497986,4.078497,14.921868,3.089096,0.581687,1.376282,2.777972,117.101794,2025-04-30T13:26:08.258323Z
